run_id,timestamp_s,argument_support_state,action,top_claim_support,warning_monitors,failed_monitors,action_source_monitors,affected_constraint_ids,affected_hazard_ids
baseline-s101,0.0,SUPPORTED,CONTINUE,PASS,,,M-COMM-FRESH;M-FALLBACK;M-LIDAR-FRESH;M-LOC;M-OBS-MARGIN;M-XMODAL,,
localization_drift-s101,0.0,SUPPORTED,CONTINUE,PASS,,,M-COMM-FRESH;M-FALLBACK;M-LIDAR-FRESH;M-LOC;M-OBS-MARGIN;M-XMODAL,,
localization_drift-s101,20.5,DEGRADED,SLOW,WARN,M-LOC,,M-LOC,SC-2,H-2
localization_drift-s101,21.2,UNSUPPORTED,HOVER,FAIL,,M-LOC,M-LOC,SC-2,H-2
lidar_dropout-s101,0.0,SUPPORTED,CONTINUE,PASS,,,M-COMM-FRESH;M-FALLBACK;M-LIDAR-FRESH;M-LOC;M-OBS-MARGIN;M-XMODAL,,
lidar_dropout-s101,20.3,DEGRADED,SLOW,WARN,M-LIDAR-FRESH,,M-LIDAR-FRESH,SC-2,H-2
lidar_dropout-s101,20.7,UNSUPPORTED,HOVER,FAIL,,M-LIDAR-FRESH,M-LIDAR-FRESH,SC-2,H-2
cross_modal_disagreement-s101,0.0,SUPPORTED,CONTINUE,PASS,,,M-COMM-FRESH;M-FALLBACK;M-LIDAR-FRESH;M-LOC;M-OBS-MARGIN;M-XMODAL,,
cross_modal_disagreement-s101,20.5,DEGRADED,SLOW,WARN,M-XMODAL,,M-XMODAL,SC-2,H-2
cross_modal_disagreement-s101,21.1,UNSUPPORTED,HOVER,FAIL,,M-XMODAL,M-XMODAL,SC-2,H-2
obstacle_intrusion-s101,0.0,SUPPORTED,CONTINUE,PASS,,,M-COMM-FRESH;M-FALLBACK;M-LIDAR-FRESH;M-LOC;M-OBS-MARGIN;M-XMODAL,,
obstacle_intrusion-s101,21.4,DEGRADED,SLOW,WARN,M-OBS-MARGIN,,M-OBS-MARGIN,SC-1,H-1
obstacle_intrusion-s101,21.8,UNSUPPORTED,HOVER,FAIL,,M-OBS-MARGIN,M-OBS-MARGIN,SC-1,H-1
communication_loss-s101,0.0,SUPPORTED,CONTINUE,PASS,,,M-COMM-FRESH;M-FALLBACK;M-LIDAR-FRESH;M-LOC;M-OBS-MARGIN;M-XMODAL,,
communication_loss-s101,20.4,DEGRADED,SLOW,WARN,M-COMM-FRESH,,M-COMM-FRESH,SC-3,H-3
communication_loss-s101,21.3,UNSUPPORTED,RETURN_HOME,FAIL,,M-COMM-FRESH,M-COMM-FRESH,SC-3,H-3
compound_failure-s101,0.0,SUPPORTED,CONTINUE,PASS,,,M-COMM-FRESH;M-FALLBACK;M-LIDAR-FRESH;M-LOC;M-OBS-MARGIN;M-XMODAL,,
compound_failure-s101,20.2,DEGRADED,SLOW,WARN,M-LIDAR-FRESH,,M-LIDAR-FRESH,SC-2,H-2
compound_failure-s101,20.6,UNSUPPORTED,HOVER,FAIL,M-COMM-FRESH;M-LOC,M-LIDAR-FRESH,M-LIDAR-FRESH,SC-2;SC-3,H-2;H-3
compound_failure-s101,20.8,UNSUPPORTED,ABORT,FAIL,M-COMM-FRESH,M-FALLBACK;M-LIDAR-FRESH;M-LOC,M-FALLBACK,SC-2;SC-3;SC-4,H-2;H-3;H-4
